CRITERIOS DE GOVERNANCA,PRATICAS DE GESTAO
a) A alta direção promove a avaliação das prioridades e dos resultados alcançados considerando as competências regimentais ou a missão da instituição., 
01 - A alta direção promove a avaliação das prioridades considerando as competências regimentais ou a missão da instituição.,"A Diretoria Executiva - DIREX - por meio de um conjunto de instrumentos e práticas, promove suas análises e avaliações de prioridades, abaixo, elencamos alguns destes instrumentos como amostra de práticas de gestão.

 - PE - Plano Estratégico: elaborado para o período de 5 anos e revisado anualmente com a partipação do nível estratégico e tático da organização. O instrumento define as oportunidades, o mapa estratégico para implementar tais oportunidades e ao final um quadro de riscos sobre os objetivos estratégicos. Prática sistematizada desde 2018. A avaliação das prioridades com este instrumento de gestão ocorre no momento da sua elaboração/revisão anual, onde a Direx analisa os resultados e propõe os ajustes e revisões para o próximo ciclo, enviando o instrumento para validação junto ao conselho de administração. (anexo 1) 

 - PPA - Plano Plurianual: elaborado para o período de  4 anos e revisado anualmente. Instrumento normativo que materializa o planejamento por meio de programas e ações. A avaliação das prioridades também ocorre através deste instrumento de gestão, onde são  compatibilizados com as prioridades do Plano Estratégico. Esta prática ocorre há mais de 2 anos 2018.(anexo 2) 

 - PTA - Plano de Trabalho  Anual: elaborado anualmente. O Plano de Trabalho Anual (PTA) é um instrumento de planejamento de curto prazo, que tem por objetivo, detalhar, considerando os programas e ações do Plano Plurianual (PPA), o que será executado em um ano específico. Este instrumento é o insumo que gera a LOA  - Lei Orçamentária Anual que é consolidada pela SEFAZ-MT - Secretaria de Fazendo do Estado e apresentada pelo Governador na Assembleia legislativa até 30/09 de cada ano. (anexo 3)

 - RAG - Relatório de Ação Governamental: elaborado anualmente. Avaliação realizada nas Unidades Orçamentárias (como na própria MTI), pelos servidores denominados Gestores de Programas e Responsáveis por Ação, a respeito da implementação dos programas e ações constantes do Plano Plurianual e operacionalizados conforme a Lei Orçamentária Anual. Este instrumento de gestão, também é regulamentado pelo governo e disponibiliza aos órgãos públicos a possibilidade da reflexão, análise sobre as entregas efetivadas através da alocação dos recursos públicos consignados no PTA/LOA. Na MTI, cada gestor tem sua responsabilidade nas AÇÕES, desde a fase de elaboração, monitoramento, execução e finalmente na avaliação e prestação de contas que é o momento do RAG. Esta prática ocorre há mais de 10 anos. (anexo 4)

 - As competências institucionais da MTI estão concebidas principalmente em seu Estatuto Social (artigo 5), além daqueles já descritos no cadastro da organização. (anexo 6)

- Para atuação neste conjunto de instrumentos e práticas de gestão acima descritos, atua a DIREX, por exemplo, no monitoramento/avaliação do PE, existe prática sistematizada e mensal de acompanhamento dos indicadores - prática há mais de 2 anos - anexo 7. No momento das priorizações do PPA, o instrumento é debatido pela equipe gerencial e na DIREX onde também é aprovado, prática existente há mais de 2 anos - anexo 7. No PTA, igualmente após a versão das necessidades trazida pela equipe gerencial (com base nas diretrizes e alinhamentos do PE), o instrumento é avaliado pela DIREX, prática existente há mais de 2 anos - anexo 7"
02 - A alta direção promove a avaliação dos resultados alcançados considerando as competências regimentais ou a missão da instituição.," - A MTI adota a prática de elaboração e gestão de Plano Estratégico (PE) há mais de 2 anos. Anualmente desde 2018 é elaborada a Estratégia de Longo Prazo (ELP) - documento previsto pela Lei Federal 13303/2016, é aprovada pelo Conselho de Administração e, alinhado  com o Plano Plurianual - PPA do governo. Sua periodicidade de revisão é anual e deve ser estabelecida para um período de 5 anos. Assim, a atual ELP está compreendida para o período de 2023 - 2027 que foi elaborada com a participação da equipe gerencial (nível tatico e Diretoria), resultando em uma  minuta com base nos alinhamentos da empresa junto ao governo do estado  e apresentada  ao Conselho de Administração para aprovação. Após aprovação da ELP, a Diretoria elabora um documento com um pouco mais de detalhamento denominado de Plano Estratégico - PE trazendo os quadros de indicadores e metas, os responsáveis e outros elementos para que seja possível sua execução, monitoramento e avaliação anual, alinhados aos interesses públicos. Abaixo, estão descritos os referidos indicadores, estando assim ordenados, no Grupo 1: aqueles que foram continuados em 2022 e 2023 e no Grupo 2 os indicadores ajustados/alterados conforme avaliação da Diretoria. (anexo 1)

 - Indicadores Estratégicos (anexo 2)
 
Grupo 1 (indicadores ""continuados no ciclo 2022/2023"", considerando que os demais foram ajustados em redação ou substituídos na revisão anual do PE): As metas e resultados estão evidenciados no critério de Valor Público
2022 e 2023: Índice de satisfação e imagem
2022 e 2023: Grau de maturidade de governança e gestão

 - A Diretoria Executiva da MTI - DIREX, composta por 04 diretores promove o monitoramento e avaliação mensal do plano estratégico. Prática ocorre há mais de 2 anos. A UGGOV - Unidade de Gestão de apoio a Governança coordena este processo, orientando os Diretores e suas unidades administrativas para esta atividade, inclusive com envio do documento ""Informes UGGOV para toda a equipe gerencial. Com  base nesta agenda mensal da DIREX - conforme comprovação contendo alguns exemplares/amostras de atas deste colegiado - pode-se perceber as análises e encaminhamentos. (anexo 3)

 - Na MTI, existe a prática de  utilizar a plataforma do google workspace, através de planilhas compartilhadas (disponível para toda equipe gerencial) para o controle da execução, monitoramento e consolidação dos dados e informações e ainda é disponibilizado painéIs de gestão para fornecimento de informações e avaliação dos resultados pelas equipes gerenciais e DIREX.  (anexo 4)

 - A MTI possui a prática de gestão, através do documento intitulado ""Comunicação Interna"", contendo orientações da DIREX,  com um conjunto de práticas  para o monitoramento gerencial. O documento  encaminhado para toda equipe gerencial, nos anos de 2021, 2022 e 2023, também está disponivel na intranet MTI, link interno. Anualmente a DIREX promove avaliação dos resultados e ""ajusta"" suas orientações através deste instrumento. A UGGOV é a unidade que coordena este conjunto de práticas, contando com o apoio de outras unidades administrativas. A UGGOV conforme estrutura organizacional de dezembro/2023 encontra-se subordinada diretamente ao gabinete do Diretor-Presidente (anexo 5) 
  
 - Em 2023, houve um aperfeiçoamento/refinamento no processo de execução do plano estratégico, com as iniciativas estratégicas desdobradas a partir de cada objetivo estratégico, conforme descrito na CI 2023, página 05 (arquivo descrito como ""anexo 5_CI 2023""). O gerente de nível tático após elaborar sua versão das práticas de gestão, em conjunto com o gerente operacional e, submete ao diretor da área para ajustes/aprovação.   A prática é monitorada trimestralmente e seu  gerenciamento  é acompanhado pela equipe da UGGOV. (anexo 6) "
b) A alta administração assegura a tomada de decisão com base em informações alinhadas às diretrizes de governo e ao interesse público, 
01 - A alta direção assegura a tomada de decisão com base em informações alinhadas às diretrizes de governo.,"
 - Por meio do Plano Estratégico - PE da MTI, instrumento no qual são definidas as oportunidades, o mapa estratégico para implementar tais oportunidades e ao final um quadro de riscos sobre os objetivos estratégicos. Em seu conteúdo possui capítulo que trata do alinhamento estratégico com as políticas públicas de governo. O PE é aprovado pelo Conselho de Administração (conforme artigo 8º do estatuto social da MTI), órgão superior de deliberação colegiada da MTI, o qual é composto por membros do Governo do Estado e no momento da elaboração e aprovação é assegurado o alinhamento com as diretrizes de governo. O PE é uma prática consolidada na instituição desde o exercicio de 2019, motivado, além de consignar-se pelas boas práticas de gestão, fundamenta-se em atendimento ao disposto no artigo 23, parágrafo 1º, da Lei Federal 13303/2016 e regulamentada pelo Decreto Estadual 793/2016 de 28/12/2016. As evidências estão no conjunto de arquivos do ""anexo 1"".

 - No momento da elaboração do Plano de Trabalho Anual - PTA - e no plano de aquisição, é levado em consideração o Plano Estratégico da MTI, buscando alinhar as ações e tomadas de decisões em direção aos grandes objetivos institucionais. Prática ocorre há mais de 2 anos. (anexo 2)

 - No momento da elaboração do PPA  - Plano plurianual, atualmente em vigor, construído em 2023 para o período de 2024-2027, foram realizadas diversas oficinas no governo com apoio de consultoria externa do governo do estado, visando o alinhamento dos órgãos em direção aos macro objetivos do mapa estratégico de governo e assim, alinhando as ações setoriais.  (anexo 3 - slide 24)

 - A MTI guarda assento como representante no Comitê Executivo de Governo Digital, criado através do Decreto 951/2021 -  ""Institui o Sistema de Governança Digital dos Eixos Simplifica MT e Eficiência Pública no âmbito do Programa ""Mais MT"" - Programa de Investimentos em Obras e Ações do Governo do Estado de Mato Grosso, e dá diretrizes gerais."", bem como no  Comitê Técnico de Transformação Digital e Inovação e assim, é possível ""dialogar"" sobre as priorizações e alinhamento junto ao Governo neste tema da transformação digital. Prática ocorre desde 2022. (anexo 4, Art. 5º pág 6 e Art. 7º pág.8)

 - No momento da elaboração do PTA, a Diretoria através de seu Diretor Presidente apresenta as grandes ações, projetos ao governo do estado, no sentido de conceder autorizações para aumentos de teto orçamentário. Este processo ocorre há mais de 2 anos e as ações priorizadas com o governo são lançadas no sistema Entregas GOV e posteriormente no FIPLAN conforme o PTA. (anexo 5)

 - A MTI é membro do Conselho Estadual de Tecnologia - COTEC - (artigo 6), instituído pelo Decreto 1208/2021, sendo mais uma oportunidade para que a alta direção assegure suas principais decisões em alinhamento com o próprio governo. (anexo 6)

 - O governo autorizou ainda em 2023 e a MTI inseriu em seu atual PPA uma ação descrita como ...""3397 - ampliação da rede de comunicação do governo..."" Com esta ação, o governo, através da MTI e Secretaria de Estado de Planejamento e Gestão  - SEPLAG, viabilizarão a ampliação da rede de governo, ofertando inclusive acesso público via wifi em diversas praças públicas nos municípios de MT. Para tanto, o governo vem garantindo os recursos através da SEPLAG e competindo à MTI a viabilização técnica com seus parceiros estratégicos.  (anexo 7)

 - Para apoiar no processo decisório existe uma estrutura de apoio à governança que pode ser visualizada através deste link: https://www.mti.mt.gov.br/conselhos-e-diretoria-executiva  . Esta estrutura existe há mais de 2 anos e possibilita à alta administração maior alinhamento das ações para o aperfeiçoamento no processo decisório. Estas unidades encontram-se subordinadas diretamente ao Diretor-Presidente. (anexo 8)

 - A integração de informações ocorre por meio do uso dos painéis de gestão, uso de sistemas integrados como Protheus, principalmente. Prática continuada há mais de 2 anos.  A definição de decisões críticas ocorre por meio do colegiado da DIREX - Diretoria Executiva, formada pelos diretores da empresa, conforme seu Estatuto Social - art 20 e as agendas ordinárias ocorrem mensalmente conforme art 25, §1º. (anexo 9)
"
02 - A alta direção assegura a tomada de decisão com base em informações alinhadas ao interesse público.,"No documento denominado Plano Estratégico - PE da MTI. Em seu conteúdo possui capítulo que trata do alinhamento estratégico com o Plano Plurianual - PPA do governo, no qual em sua elaboração leva em consideração os interesses públicos. O PE é aprovado pelo Conselho de Administração (conforme artigo 8º do estatuto social da MTI), órgão superior de deliberação colegiada da MTI, o qual é composto por membros do governo do estado que no momento da elaboração e aprovação é discutido o alinhamento com o interesse público. O PE define os objetivos estratégicos alinhados aos interesses público conforme apresentado na pág 23 e 24. Desta forma um indicador estratégico estruturante para o interesse público é executado no Plano Estratégico, descrito como ""Índice de satisfação e imagem"" sendo monitorado nos anos de 2022 e 2023. (anexo 1 constando o Estatuto, painéis de gestão, plano estratégico e Resolução de aprovação)

 - A MTI elabora anualmente uma pesquisa de satisfação e imagem (pesquisa essa que inclusive é um dos indicadores estratégicos da MTI) na qual tem o objetivo de elevar o nível de satisfação do cliente e de imagem institucional da MTI. A pesquisa é realizada com públicos como:  líderes de governo, gestores de TI, parceiros, fornecedores e cidadãos. A pesquisa é utilizada como insumo no momento de revisão anual do PE. Link: https://www.mti.mt.gov.br/pesquisa-de-imagem (anexo 2). A organização utilizou em 2022 e 2023  o Indicador Estratégico - de efetividade, descrito como ""Índice de satisfação e imagem"" para medir seus serviços e imagem institucional.

 - O PE é uma prática consolidada na instituição desde o exercicio de 2018, motivado, além de consignar-se pelas boas práticas de gestão, fundamenta-se em atendimento ao disposto no artigo 23, parágrafo 1º, da Lei Federal 13303/2016 e regulamentada pelo Decreto Estadual 793/2016 de 28/12/2016. O PE prioriza a tomada de decisões com base nas competências legais instituídas para MTI, seja através de seu Estatuto Social, art. 5 onde se descreve os objetivos, bem como através de outras legislações como o Decreto 1208/2021 - Dispõe sobre o Sistema Estadual de Tecnologia da Informação - SETI no âmbito do Poder Executivo do Estado de Mato Grosso e dá outras providências. Neste dispositivo, estabelece competências para a MTI - Art. 9º e no Art. 6º insere a MTI como membro do COTEC - Conselho de Tecnologia. A MTI em sua atuação de promover a implementação e disponibilização de serviços de Tecnologia da Informação, desenvolve através de seu ecossistema e com seus parceiros estratégicos a disponibilização de um conjunto de soluções tecnológicas de impacto direto ao cidadão-usuários. (anexo 3)

 - Ações - parcerias com órgãos públicos, conforme descrito abaixo, que podem ser evidenciadas no Relatório Integrado de Sustentabilidade - RIS. Link: https://www.mti.mt.gov.br/relat%C3%B3rio-integrado-de-sustentabilidade: Com a priorização destes serviços prestados junto a estes órgãos públicos por exemplo, foi possível disponibilizar serviços públicos digitais que afetam positivamente as políticas públicas governamentais, como carteira do autista e ações de automatização no PROCON.(anexo 4)

 - O aplicativo MT Cidadão, desenvolvido pelo Governo de Mato Grosso, por meio da MTI, com o objetivo de proporcionar aos cidadãos mais praticidade e acessibilidade nas informações e nos serviços públicos oferecidos pelo Estado. O MT Cidadão se destaca como uma ferramenta de transformação digital. Por meio do aplicativo, os usuários têm a possibilidade de emitir documentos, agendar atendimentos, consultar informações sobre veículos, incluindo  a solução de validação biométrica facial e prova de vida desenvolvida a partir de dados biométricos oficiais do Departamento Estadual de Trânsito - DETRAN-MT e Perícia Oficial e Identificação Técnica - POLITEC. (anexo 5)

 - Com o Procon MT - órgão de defesa do consumidor do estado, além de realizar treinamento e ações para a modernização e eficiência dos serviços públicos em Mato Grosso, participou da  implementação do projeto do  Procon+, um sistema inovador destinado a centralizar e aprimorar as operações do Procon, além da processar todos os processos físicos para  a plataforma digital. (anexo 6)

 - A MTI é membro do Comitê do Comitê Executivo de Governo Digital e compõe ainda o Comitê Técnico de Transformação Digital e Inovação - de acordo com Decreto 951/2021 que Institui o Sistema de Governança Digital dos Eixos Simplifica MT e Eficiência Pública no âmbito do Programa “Mais MT” - Programa de Investimentos em Obras e Ações do Governo do Estado de Mato Grosso, e dá diretrizes gerais. Desta forma a organização assegura tomadas de decisões estratégicas alinhadas ao interesse público, conforem detalhadado no artigo 5º página 6 e artigo 7º na página 8. (anexo 7)

 -  a MTI e o Departamento Estadual de Trânsito - Detran-MT adotaram melhorias para os serviços relacionados ao órgão de trânsito que facilitaram a vida dos cidadãos, como a implantação do pagamento de taxas de serviços via PIX e a disponibilização de boletos de multas para veículos registrados em outros estados. (anexo 8)

 - A MTI participou, como avaliadora, na Feira de Software dos alunos do curso de Desenvolvedores de Sistemas (Fic-Dev), realizado pela Secretaria de Estado de Ciência, Tecnologia e Inovação - SECITECI em parceria com a Universidade do Estado de Mato Grosso – UNEMAT e a Universidade Federal de Mato Grosso – UFMT, em 2023. (anexo 9) 

 - O projeto Carteira de Identificação do Autista Digital,  integrada ao aplicativo MT Cidadão, valorizou iniciativas que aprimoram a governança e eficiência dos órgãos públicos. A Carteira  é um documento destinado a pessoas diagnosticadas com Transtorno do Espectro Autista (TEA). (anexo 4)

 - O governo autorizou ainda em 2023 e a MTI inseriu em seu atual PPA uma ação descrita como ...""3397 - ampliação da rede de comunicação do governo..."" Com esta ação, o governo, através da MTI e Secretaria de Estado de Planejamento - SEPLAG - viabilizarão a ampliação da rede de governo, ofertando inclusive acesso público via wifi em diversas praças públicas nos municípios de MT. Para tanto, o governo vem garantindo os recursos através da SEPLAG e competindo à MTI a viabilização técnica com seus parceiros estratégicos. Desta forma, a empresa assegura tomadas de decisão junto ao governo e centradas no interesse público relevante. (anexo 10)

 - O Governo do estado através do Decreto 546/2023 - Regulamentou a Lei Estadual no 11.767, de 24 de maio de 2022, que dispõe sobre a identificação digital, o uso da assinatura eletrônica e da procuração digital, no âmbito do Poder Executivo do Estado de Mato Grosso, e dá outras providências. Neste sentido, delegou à MTI a seguinte atribuições consignada no Art.11, a saber ""Fica a Empresa Mato-grossense de Tecnologia da Informação (MTI) encarregada de prover e operacionalizar o mt.ID, dando suporte aos órgãos e entidades do Poder Executivo Estadual, bem como a segurança do ambiente tecnológico, dos dados e transações realizadas na plataforma."" (anexo 11)

 -  Esta ação (solicitar certificado digital) foi desenvolvida e disponibilizada para a população, inclusive é o serviço público diretamente ao cidadão, descrito em nossa Carta de Serviços - disponível em: https://portal.mt.gov.br/app/catalog/ciencia-tecnologia-e-inovacao/solicitar-certificado-digital-mt.id . Assim, a empresa assegura sua tomada de decisão e alinhamento ao interesse público. (anexo 12)

Para o ano de 2022 e 2023 tivemos também o monitoramento dos seguintes indicadores operacionias,   abaixo descritos:
Indicadores (anexo 13):
2022 e 2023: 
- Número de demandas respondidas no prazo-ouvidoria
- 100% dos relatórios entregues no prazo
- Satisfação com a ouvidoria"
c) A alta direção promove o monitoramento e a divulgação do desempenho institucional com foco nos resultados estratégicos ou nas prioridades estabelecidas., 
"01 - A alta direção promove o
monitoramento do desempenho
institucional com foco nos
resultados estratégicos ou nas
prioridades estabelecidas."," - Na MTI, é realizado mensalmente, há mais de 2 anos, o monitoramento mensal dos indicadores estratégicos pelas unidades administrativas responsáveis. Mensalmente é realizada reunião com a Diretoria Executiva da MTI para apresentação dos resultados dos monitoramentos dos indicadores. Durante a reunião são discutidas ações de tratamento e melhoria para cada indicador em relação a situação do seu monitoramento. A diretoria executiva é composta pelos diretores da MTI e possui suas competências definidas pelo estatuto social da MTI conforme artigo 25.   O PE é elaborado para o período de 5 anos e revisado anualmente. No momento da revisão do PE, são analisados os resultados dos indicadores como um processo de avaliação, para a realização de ajustes necessários e revisão dos indicadores / metas para o próximo período. O PE é aprovado pelo Conselho de Administração  da MTI por meio de resolução. Este processo integra o PMP - Padrão de Mapeamento de Processos - Gerir o Planejamento Estratégico da MTI.(anexo 1)

 - Para o ano de 2022 e 2023 tivemos o monitoramento dos seguintes indicadores estratégicos abaixo descritos e identificados como Grupo 1. (anexo 2)

Indicadores Estratégicos
 
Grupo 1: As metas e resultados estão evidenciados no critério de Valor Público
2022 e 2023: Índice de satisfação e imagem
2022 e 2023: Grau de maturidade de governança e gestão

 - Além do PE, a instituição promove o monitoramento de seu desempenho através de análise mensal de indicadores no painel do Governo - sistema EntregasGOV - prática ocorre há mais de 2 anos. (anexo 3)

 - O desempenho do PPA também é monitorado anualmente através do Relatório da Ação Governamental - RAG - prática que ocorre há mais de 10 anos. (anexo 4)

 - Através do monitoramento mensal dos indicadores operacionais e disponível em painel de gestão, também é possível aferir os resultados - prática ocorre há mais de 2 anos. (anexo 5) 

 - Na área finalística, tem-se o monitoramento de todos os projetos de clientes através do sistema Servicenow - prática ocorre desde 2022. (anexo 6)

 - Na Diretoria Administrativa, através da UGCOF é feito monitoramento mensal do índice de sustentabilidade financeira - prática ocorre há mais de 2 anos.  (anexo 7)

 - A MTI adota um conjunto de práticas de gestão, desde 2021, através de orientações de gestão emitidas pela Diretoria Executiva, sendo uma destas práticas a atividade de disseminação de informações e resultados para seus colaboradores e assim, também é uma oportunidade de monitoramento por todos.  (anexo 8)

 - A MTI mantém em sua estrutura organizacional uma unidade central de gestão de projetos - UGPRO - Unidade de Gestão de projetos - que mantém as orientações junto às unidades administrativas. (anexo 9)"
"02 - A alta direção promove a
divulgação do desempenho
institucional com foco nos
resultados estratégicos ou nas
prioridades estabelecidas.","A divulgação do desempenho institucional ocorre há mais de 2 anos, estando estruturado para o público externo e interno conforme segue descrito:

Para o público externo

 - A MTI publica anualmente o balanço social via diário oficial no qual é feita publicação do resumo do relatório integrado e sustentabilidade da MTI. Disponível no link: https://www.mti.mt.gov.br/demonstracoes-contabeis. (anexo 1)

 - A MTI elabora anualmente há mais de 2 anos o Relatório Integrado de Sustentabilidade - RIS no qual é divulgado o resultado dos indicadores estratégicos (2022 na página 20, e 2023 na página 20), além das entregas realizadas por todas as unidades administrativas durante o ano. O relatório é público e divulgado no site da MTI através do endereço: https://www.mti.mt.gov.br/relat%C3%B3rio-integrado-de-sustentabilidade . O RIS foi instituído por meio da Lei Federal 13.303/2016. (anexo 2). O conteúdo na íntegra sobre o plano estratégico está classificado como restrito conforme norma estadual - anexo 3 

 - A MTI elabora anualmente desde 2018 a Carta Anual de Políticas Públicas e Governança Corporativa, na qual são publicadas as informações de: atividades desenvolvidas, principais clientes, impactos econômicos financeiros, fatores de riscos, governança corporativa, dentre outros com objetivo de divulgação do desempenho institucional (a partir da página 7). A Carta é publicada no site da MTI e disponível em https://www.mti.mt.gov.br/cartas  e foi instituída por meio da Lei Federal 13.303/2016. (anexo 4) 

 - A alta direção através da Diretoria Executiva também promove a divulgação do desempenho institucional por meio do RAG - Relatório da Ação Governamental - instrumento de gestão que promove a avaliação geral das políticas públicas. Prática existente há mais de 10 anos na MTI. É  possível acessá-lo através do site da Secretaria de Estado de Planejamento e Gestão em: https://www.seplag.mt.gov.br/index.php?pg=ver&id=7619&c=114&sub=true.   (anexo 5) 

Para o público interno
 - INTRANET (acesso para todos os colaboradores) divulgação da documentação completa do PE contendo o detalhamento e indicadores estratégicos. Publicação do resultado do monitoramento dos indicadores estratégicos bimestralmente e ao final do ano resultado acumulado. (anexo 6)

 - Painéis da Gestão (para equipe gerencial): painéis na internet (google) nos quais são apresentados as medições e os resultados dos indicadores em forma de gráficos e tabelas, prática implementada há mais de 2 anos. O acesso é feito por toda equipe gerencial. (anexo 7)

 - Mural da MTI (para todos os colaboradores): os gráficos dos monitoramentos e resultados dos indicadores estratégicos são impressos e distribuidos nas diretorias para a fixação em forma de mural. (anexo 8)

 - Informes Mensais (para equipe gerencial): Envio de email mensal em formato de informes, sob a responsabilidade da Unidade de gestão de apoio a Governança - UGGOV, para toda a equipe gerencial da MTI, como forma de divulgação dos monitoramentos e resultados dos indicadores estratégicos. (anexo 9)

 - Há uma prática de gestão sobre a disseminação de informações e resultados para todos os colaboradores, existe há mais de 2 anos e foi instituída pela Diretoria Executiva. Em 2022, ocorreu 20 de maio de 2022  Em 2023 ocorreu  02 de junho de 2023. A prática consiste na apresentação pela equipe gerencial em evento agendado via google meet para os colaboradores, ocorre uma vez ao semestre. No referido evento é apresentado os resultados do semestre e o planejamento das principais ações/projetos para o proximo semestre. (anexo 10) "
d) A alta direção dispõe de dados e informações para subsidiar o seu processo decisório., 
