CRITERIO CAPITAL INTELECTUAL,PRATICAS DE GESTAO
"a) A memória administrativa interna (pessoas, competência profissional, documentos, sistemas de informação) os conhecimentos externos (referenciais comparativos da Administração Pública ou privada, mercado) são registrados e divulgados.",
"01 - A memória administrativa interna (pessoas, competência profissional, documentos, sistemas de informação) são registrados e divulgados.","A MTI possui um ambiente interno de compartilhamento de documentos e informações para os colaboradores que é a intranet.  Esta ferramenta é utilizada rotineiramente e, em prática há mais de 10 anos. Todos os colaboradores da MTI tem acesso a Intranet. A memória administrativa está disponível na intranet e neste ambiente temos por exemplo um conjunto de informações, como: (anexo 1)
- Institucional, 
- Comunicação, 
- Controle Interno, 
- Processo de Planejamento, 
- Desenvolvimento Organizacional, 
- Gestão de Pessoas, 
- Inovação, 
- Projetos, 
- Riscos Corporativos,
- Segurança, Serviços, 
- Socialização do Conhecimento, 
- Ouvidoria e Transparência. 

Através da rede interna, é estruturado um conjunto de pastas digitais, com acesso restrito a cada equipe de trabalho conforme estrutura organizacional. Neste repositório é registrada a memória administrativa oficial através de documentação. Na rede interna, também tem pasta denominada ""Escritório de Processos"" a qual todos os colaboradores da sede tem acesso, nesse ambiente são disponibilizados arquivos de uso comum a todos, alem de documentos instituídos internamente como processos mapeados, regulamentos, políticas, etc. (anexo 2)

A memória administrativa também é registrada através de sistemas automatizados, por exemplo:   FIPLAN - sistema de planejamento, orçamento e finanças do governo, SIGADOC - sistema de protocolo, SIAG - sistema de aquisições do governo; e, considerando que a MTI também utiliza tais sistemas, as informações e arquivos também estão lá estruturados. Com relação à gestão de pessoas, tem-se a memória administrativa através da intranet, rede interna, sistema PROTHEUS, sistema ELOFY e sistema de gestão de pessoas corporativo do governo e utilizado na emrpesa. (anexo 3) 

A Unidade de Gestão de Pessoas - UGPES mantem arquivo com ""Declaração de Conformidade com Pano de Capacitação"" contendo registros  de capacitações que evidenciam os cursos realizados  por unidade e detalhado por colaborador. (anexo 4)

A Unidade de gestão de pessoas faz a comunicação / disseminação via e-mail para equipe gerencial dos planos de capacitação nos anos de 2022 e 2023.(anexo 5)"
"02 - Os conhecimentos externos (referenciais comparativos da Administração Pública ou privada, mercado) são registrados e divulgados.",
"b) O plano de capacitação está definido e divulgado, priorizando os conhecimentos necessários ao atendimento das prioridades ou das estratégias estabelecidas.",
"01 - O plano de capacitação está definido, priorizando os conhecimentos necessários ao atendimento das prioridades ou das estratégias estabelecidas.","- Na MTI, as capacitações de colaboradores é baseada no Regulamento de Capacitação de Pessoas, instituido através da  Portaria nº 223/2022/MTI de 28 de outubro de 2022 (anexo 1)  Neste documento ""anexo 1_Regulamento_Capacitação_Pessoas"", há afirmações e diretrizes em busca da promoção do alinhamento das capacitações conforme o planejamento estratégico da organização (pode ser evidenciado, por exemplo através do item 2, item 8 e item 12)

 - Anualmente,  a Unidade de Gestão de Pessoas consolida  em conjunto com os gestores de todas as unidades,  o levantamento das necessidades de capacitação para o próximo período, através do documento denominado: Plano de Capacitação para os exercícios de 2022 e 2023. O plano é assinado pela diretoria e publicado internamente na intranet. (anexo 2)

 - Esse levantamento é utilizado para subsidiar  o Plano de Trabalho Anual - PTA e para a reserva de orçamento para a aquisição das capacitações, conforme podemos verificar no Plano de Trabalho anual - PTA, dos exercícios de 2022 e 2023 no sistema Fiplan. (anexo 3)"
02 - O Plano de capacitação é divulgado.,"A MTI, desde o exercício de 2022, dispõe de  um plano de  capacitação anual, com vistas ao engajamento e aprimoramento de conhecimento por todos os colaboradores. O referido plano e o regulamento de capacitação estão disponíveis na intranet para acesso de todos os colaboradores. (anexo 1)

A divulgação também é feita via e-mail, com envio do plano para equipe gerencial para que estes também reforcem nas agendas com suas equipes. (anexo 2)"
c) São utilizados mecanismos de desenvolvimento e compartilhamento do conhecimento entre os servidores.,
01 - São utilizados mecanismos de desenvolvimento dos servidores.,"
A MTI iniciou em 2022 o Programa de Gestão por Competência com objetivo de mapear as habilidades, conhecimentos e comportamentos necessários para cada função dentro da organização. Com este trabalho foi possível fazer o levantamento do mapa das competências técnicas e mapa das competências comportamentais transversais para gestores e demais colaboradores/servidores, inicialmente daqueles lotados na sede. A documentação está disponivel em link na intranet  para todos os colaboradores(onde estão localizados a maioria dos servidores). (anexo 1)

A partir deste levantamento, por meio da gestão por competência, foi identificada as necessidades de desenvolvimento dos servidores/colaboradores para atender aos mapas de competências e elaborado o Plano de Desenvolvimento Individual - PDI. O PDI é monitorado mensalmente pela UGPES. As informações contidas no relatório do PDI se referem às seguintes informações em números (2022 e 2023): elaborados, concluídos, em andamento, não iniciado, em atraso. Os números se referem também aos PDI's ""sem iniciativas"" e aos ""não iniciados"". (anexo 2). O PDI é elaborado pelo colaborador no sistema ""elofy"" e após consenso com seu superior é aprovado no sistema e monitorado. A prática ocorre desde 2022.

A MTI possui o seu Regulamento de Capacitação de Pessoas e elabora anualmente o seu Plano de Capacitação, no qual a Unidade de Gestão de Pessoas faz levantamento junto a cada gestor de cada unidade das necessidades de capacitação dos colaboradores. Prática consolidada desde 2022. (anexo 3). O PDI é um dos insumos para o plano de capacitação da organização."
02 - São utilizados mecanismos de compartilhamento do conhecimento entre os servidores.,"Uma das práticas instituídas é a disseminação  de informações e resultados dentros da equipes. O evento é realizado semestralmente, onde os gestores das unidades administrativas apresentam para os demais membros da equipe e diretoria, o planejamento para os próximos meses e as atividades desenvolvidas no período em curso, com o intuito de disseminar conhecimento dentro de cada diretoria. As informações também estão disponiveis na rede interna da MTI. A disseminação acontece via reunião virtual por google meet. Os interessados recebem agenda com antecedência e são notificados por email. (anexo 1) 

Esta prática de disseminação de informações e resultados ocorre há mais de 2 anos, e conforme ciclo avaliativo, pode-se evidenciar as orientações da diretoria através da Comunicações internas de 2022 (página 7 e 8) e 2023 (página 10 e 11) através dos arquivos iniciados com ""anexo 2...""

Nas unidades administrativas da MTI, desde 2020 temos a rotina de reunião  semanal do gerente com sua equipe, com objetivo de ouvir as demandas internas, delegar atividades com base nas priorizações e demandas e disseminação das informações da MTI para todos os colaboradores. O Monitoramento das atas é registrado no painel Avaliação da práticas de Gestão.(anexo 3)

O Café Tech trata-se de uma prática com o objetivo de disseminar a cultura da inovação e conhecimentos entre os colaboradores da empresa. Prática existente há mais de 2 anos. (anexo 4)

Informes gerais da uggov, prática de envio de e-mail,  mensalmente em formato de informes, para equipe gerencial da MTI, como forma de divulgação dos painéis de gestão  resultados dos indicadores estratégicos e operacionais. Prática ocorre há mais de 2 anos.(anexo 5)

Ouvidoria e Transparência - Informes  com orientações enviado para todos os colaboradores, com  esclarecimentos em relação a dúvidas e atuação da ouvidoria, no âmbito da MTI.  Prática ocorre há mais de 2 anos. (anexo 6)"
d) Os novos conhecimentos adquiridos subsidiam o aprimoramento dos sistemas de trabalho.,
