CRITERIO PROCESSOS,PRATICAS DE GESTAO
a) Os principais processos finalísticos e de apoio estão padronizados e são divulgados.,
 01 - Os principais processos finalísticos estão padronizados e são divulgados.,"Em 2023 os processos finalísticos da MTI mapeados foram publicados no ambiente do escritório de processos da Secretaria de Estado de Planejamento e Gestão,  por meio do link: https://egprocessos.seplag.mt.gov.br/orgao/17 - anexo 1 mapeamento. O mapeamento ocorreu a partir da cadeia de valor, publicada no ambiente do escritório de processos da SEPLAG - anexo 2

Internamente na MTI, temos publicados documentações para regulamentação da gestão de processos como: o regulamento de gerenciamento de processos elaborado em 2000 e revisado em 2023.- anexo 3. O manual de treinamento para modelagem de processos, com bizagi, elaborado em 2018 e revisado em 2022, anexo 4. O processo de gerenciamento de processos da MTI elaborado em 2018 e revisado em 2022. (anexo 5)

Na intranet é divulgada a cadeia de valor da MTI com os processos finalísticos.(anexo 6)

Ainda tem uma unidade administrativa em sua estrutura organizacional responsável pelo escritório de processos da MTI (UGGOV - Unidade de gestão de apoio a governança e uma gerência operacional responsável pelo Escritório de processos). (anexo 7). O monitoramento dos processos é feito pela UGGOV e para isso, mantém uma lista mestre de padrões - disponível em painel de gestão interno apresentado para toda equipe gerencial (anexo 8) e ainda apresenta neste mesmo painel um controle dos processos, padrões mapeados desde 2019.(anexo 9)"
02 - Os principais processos de apoio estão padronizados e são divulgados.,"Internamente na MTI, temos publicado documentações para regulamentação da gestão de processos, como: o regulamento de gerenciamento de processos elaborado em 2000 e revisado em 2023 (anexo 1). O manual de treinamento para modelagem de processos com bizagi elaborado em 2018 e revisado em 2022 (anexo 2). O processo de gerenciamento de processos da MTI elaborado em 2018 e revisado em 2022 (anexo 3).

 A partir das documentações a MTI realiza o mapeamento dos processos de apoio e gerenciais. Os processos mapeados são publicados internamente na intranet da MTI para o acesso dos colaboradores aos documentos padronizados.(anexo 4)

Alguns exemplos de PMP (padrão de mapeamento de processos) e POP (procedimento operacional padrão) dos processos de apoio padronizados e divulgados em 2022 (PMP Reuniões sistemáticas, PMP Colaborador no Centro de Custo) e 2023 (POP monitorar movimentações, PMP Pagamento de despesas).(anexo 5)

Ainda tem uma unidade administrativa em sua estrutura organizacional responsável pelo escritório de processos da MTI (UGGOV - Unidade de gestão de apoio a governança e uma gerência operacional responsável pelo Escritório de processos). (anexo 6). O monitoramento dos processos é feito pela UGGOV e para isso, mantém uma lista mestre de padrões - disponível em painel de gestão interno apresentado para toda equipe gerencial (anexo 7) e ainda apresenta neste mesmo painel um controle dos processos, padrões mapeados desde 2019.(anexo 8)"
b) Os principais processos finalísticos e de apoio são aprimorados e divulgados.,
01 - Os principais processos finalísticos são aprimorados e divulgados.,"Em 2022 foi realizada uma revisão dos processos finalísticos, esta versão foi encaminhada para equipe do escritório de processos da Secretaria de Estado de Planejamento e Gestão para avaliação e validação dos fluxos, conforme e-mail de 20 de setembro de 2022. (anexo 1)

Em 2023, (anexo 2) foi realizada uma atualização do mapeamento dos processos finalísticos da MTI e encaminhado novamente para equipe da SEPLAG para avaliação, conforme e-mail do dia 13 de junho de 2023. Esta é a  última versão disponivel, validada e publicada por meio do link: https://egprocessos.seplag.mt.gov.br/orgao/17 (anexo 3)"
02 - Os principais processos de apoio são aprimorados e divulgados.,"Por meio do regulamento de padronização da MTI, instituído em 2000 e revisado em 2022, as documentações da MTI tem uma periodicidade máxima de revisão a cada 4 anos (podendo revisar a qualquer momento, sendo obrigatório a cada 4 anos). A revisão tem o objetivo de atualização e aprimoramento.(anexo 1)

A unidade responsável pelo escritório de processos da MTI mantém um documento chamado lista mestre de padrões (desde 2019) no qual estão todos os padrões e processos mapeados na MTI com suas respectivas unidades responsáveis e prazos de revisão conforme regulamento de padronização. O objetivo da lista é disseminar os processos e alertar sobre os prazos de revisão. A lista é publicada no painel de gestão da MTI. (anexo 2) E ainda apresenta neste mesmo painel um controle dos processos, com padrões mapeados desde 2019. (anexo 3)

Os processos mapeados - PMP estão disponiveis na intranet para todos os colaboradores da MTI.(anexo 4)"
c) São incorporadas tecnologias aos principais processos finalísticos e de apoio visando ampliar sua capacidade de execução.,
01 - São incorporadas tecnologias aos principais processos finalísticos visando ampliar sua capacidade de execução.,"Desde 2019 a empresa utiliza a plataforma Google como um instrumento de colaboração e produtividade. Nesta, são utilizadas as funcionalidades de grupo de discussão, agendas, vídeo conferências, documentos compartilhados, planilhas compartilhadas com uso de fórmulas que possibilitam o melhor uso e gestão da informação e conhecimento bem como restrições de acesso, edição, leitura - proporcionando maior segurança e produtividade. Também foram criados painéis de gestão via Google/looker visando a melhoria da performance gerencial. Criados e mantidos desde 2020. (anexo 1) 

Na gestão de consumo dos serviços, tem-se o uso do INFOCENTER para gerenciamento das informações comerciais e faturamento, com integração de alguns ativos para captura de consumo (Banco, backup). Sistema existe há mais de 2 anos.(anexo 2)

Na gestão da infraestrutura tem-se ferramentas para monitoramento: Disponibilidade de Hospedagem de Aplicações, Banco de Dados, Ambiente de Data Center (energia elétrica e refrigeração), Conectividade com a Internet, Conectividade a Rede INFOVIA MT, Serviço de Armazenamento, Serviço de Virtualização, Serviço Backup, Plataforma de interoperabilidade. Ferramentas como: ZABIX, Grafana, Veeam Backup, BIG IP F5. (anexo 3)

Na gestão de demandas, projetos e gestão de serviços a empresa utilizada o sistema Servicenow. (anexo 4)

No processo de prover soluções de software foram incorporadas ferramentas de análise de vulnerabilidade, ferramentas de testes e DEVOPS, tais como: análise de vulnerabilidade - SonarQube - Sast, gerenciamento de softwares baseados em container - OPenShift, repositório de software baseado em git - GitLab, gerenciamento de desempenho de aplicações - GlowRoot, gerenciamento de log - graylog e automatização de deploy - Jenkins e GitLab-CI.  Assim como a utilização de uma nova ferramenta de LowCode - Plataforma de Simplificação (Sydle). Práticas de melhoria e de aperfeiçoamento ocorrem há mais de 02 anos.(anexo 5)"
02 - São incorporadas tecnologias aos principais processos de apoio visando ampliar sua capacidade de execução.,"A MTI utiliza um sistema ERP denominado PROTHEUS desde 2001, da empresa Totvs,  com vistas ao gerenciamento de processos de apoio como gestão de contratos, faturamento e gestão de  pessoal. O sistema é utilizado há mais de 10 anos, com evoluções e criação de novos módulos. Neste, constam módulos como contratos, faturamento e gestão de pessoas. Ao longo do tempo foram implementadas ações visando ampliar o escopo de temas tratados no referido sistema. Em 2022 foi realizado o contrato nº 38 de operacionalização e suporte técnico do sistema ERP-PROTHEUS-TOTVS (página 11). Podemos citar alguns exemplos de módulos que foram recentemente implementados: Em 2023 foi realizada a integração do Protheus com Infocenter (módulo de gestão de contratos) para automatização do faturamento, abandonando as planilhas anteriormente utilizadas para o controle do faturamento. Em 2023, o módulo de contratos passou por adequações realizando conferência e recadastramento de todos os contratos com clientes para refletir o que foi executado no contrato, reflita a realidade do saldo do contrato. Em 2023, foi realizada a adequação de cadastros da gestão de pessoas (atualização da legislação brasileira). (anexo 1)

Na gestão de protocolo é utilizado o sistema corporativo do governo denominado de SIGADOC. Ocorre desde 2023 por meio da INSTRUÇÃO NORMATIVA 003/2023/SEPLAG que estabelece os procedimentos complementares à Política de Gestão de Documentos, a serem observados pelos servidores públicos visando a eliminação dos documentos físicos (convencionais) que se encontram acumulados no âmbito da Administração Pública Estadual direta, autárquica e fundacional. (anexo 2)

Por meio do decreto nº 189/2023, de 27 de março de 2023 que define o Sistema de Gestão de Viagens (SIGEV), como sistema oficial para a gestão da concessão e prestação de contas de diárias no âmbito da Administração Pública direta e indireta do Poder Executivo Estadual. (anexo 3)

Desde 2019, a empresa utiliza a plataforma Google como um instrumento de colaboração e produtividade. Nesta, são utilizadas grupo de discussão, agendas, vídeo conferências, documentos compartilhados, planilhas compartilhadas com uso de fórmulas que possibilitam o melhor uso e gestão da informação e conhecimento. Também foram criados painéis de gestão via Google/looker visando a melhoria da performance gerencial. (anexo 4)

Na gestão de pessoas e avaliação de desempenho tem-se o uso de sistema via web denominado de ""elofy"" implantado desde 2022. (anexo 5) 

O governo do estado, através da Casa Civil disponibiliza um sistema contendo painéis e gestão de indicadores denominado ""Entregas GOV""; Através dele, os órgãos podem monitorar um conjunto de informações relevantes e seus indicadores para a gestão estratégica. (anexo 6)

O governo do estado, através da SEPLAG disponibiliza a todos os órgãos, o sistema GAT - Gestão de Atividades - que serve para uso diário de delegação e controle de atividades para os colaboradores. A MTI, além de ser o órgão que desenvolveu este sistema, utiliza internamente em sua gestão. (anexo 7)

O governo, assim como a MTI utilizada o sistema FIPLAN - como fonte principal para gerenciamento dos processos de orçamento, financeiro e contabilidade. Este sistema está disponível há mais de 10 anos, com evoluções.(anexo 8)"
d) Os principais processos finalísticos e de apoio são monitorados.,
