CRITERIOS ESTRATEGIAS E PLANOS,PRATICAS DE GESTAO
a) As estratégias estão definidas com base na missão e visão ou as metas estão definidas com base nas prioridades da instituição e são divulgadas.,
01 - As estratégias estão definidas com base na missão e visão ou as metas estão definidas com base nas prioridades da instituição.,"A MTI adota a prática de elaboração e gestão de Plano Estratégico (PE) há mais de 2 anos. Anualmente desde 2018 é elaborada a Estratégia de Longo Prazo (ELP) - documento previsto pela Lei Federal 13303/2016, é aprovada pelo Conselho de Administração. Sua periodicidade de revisão é anual e deve ser estabelecida para um período de 5 anos. Após aprovação da ELP, a Diretoria elabora um documento com um pouco mais detalhado denominado de ""Plano Estratégico"" trazendo os quadros de indicadores e metas, os responsáveis e outros elementos para que seja possível sua execução, monitoramento e avaliação anual. As evidências estão nos arquivos anexados. Além das metas, objetivos, estes instrumentos formalizam a visão e missão institucional. (Anexo 1)

A MTI possui normativos internos que apoiam o processo do PE, tais como: Regulamento de Planejamento Estratégico, instituído em 2016 e revisado em 2022. Mapeamento de Gerir Processo de Planejamento Estratégico, instituído em 2019 e revisado em 2022. No referido regulamento consta o indicativo seguinte
4.2 – FASE: ELABORAÇÃO
Premissas:
 - Analisar se há direcionamentos do Governo, Conselho de Administração. Havendo políticas de TIC em nível nacional e/ou estadual deve-se buscar o alinhamento e aderência.
 - Analisar a existência de políticas e/ou diretrizes estratégicas em outras organizações que compõe o governo do Estado com fito de harmonização das ações.
 - Compreender o contexto fiscal do Governo e da Empresa, compreendendo as limitações em seu plano de negócios, orçamento anual, cenário financeiro.""
Deste modo, no momento da definição, são observadas as prioridades da instituição em alinhamento aos fatores externos e governo do estado. (anexo 2)

O monitoramento da execução do plano estratégico ocorre mensalmente e é coordenada pela equipe da UGGOV - Unidade de gestão de apoio a governança. Mensalmente também a DIREX - Diretoria Executiva monitora os indicadores estratégicos. A prática existe há mais de 2 anos. O monitoramento ocorre em ambiente de colaboração com uso de planilhas em ambiente google via web e as informações também são apresentadas para toda equipe gerencial em painéis de gestão. As evidências principais como ata da DIREX e painel de gestão estão apresentados nos respectivos arquivos iniciados com: ""anexo 3..."""
02 - As estratégias ou as metas são divulgadas.,"A comunicação da estratégia e das metas do Plano Estratégico - PE ocorre da seguinte forma:

Para público externo:

- O documento do plano estratégico está classificado como informação/documento reservado, conforme rol de informações classificadas. O processo de elaboração, monitoramento e publicização ocorre há mais de 2 anos. (anexo 1)

- A MTI elabora anualmente o Relatório Integrado de Sustentabilidade - RIS. O relatório é elaborado no final do ano com o objetivo de divulgar as entregas realizadas pelas unidades administrativas, além de divulgar o resultado dos indicadores estratégicos do plano estratégico - neste caso, de forma resumida, visto que o documento está classificado como reservado (RIS 2022 páginas 18 - 20, RIS 2023 páginas 17- 20). O relatório do RIS é público e divulgado no site da MTI. Pode ser visualizado através do link: https://www.mti.mt.gov.br/relat%C3%B3rio-integrado-de-sustentabilidade. O RIS foi instituído por meio da Lei Federal 13.303/2016. (anexo 2) 

Para público interno:

- INTRANET: divulgação da documentação completa do PE contendo o detalhamento e indicadores estratégicos. Publicação do resultado do monitoramento dos indicadores estratégicos bimestralmente e ao final do ano contendo o resultado acumulado. No ambiente está publicado todo o histórico das versões do PE desde 2019. A intranet é acessível a todos os colaboradores da instituição. (anexo 3)

- Painéis da Gestão: painéis com acesso via web nos quais são apresentados as medições e os resultados dos indicadores e suas metas em forma de gráficos e tabelas (disponível para toda equipe gerencial). Também está disponível o link para acesso aos arquivos completos do PE. Ambiente mantido com o histórico dos resultados e medições dos indicadores e metas desde 2019. Painel disponibilizado para toda equipe gerencial da MTI. (anexo 4)

- Mural da MTI: As informações de objetivos estratégicos, indicadores estratégicos e suas metas são divulgadas em forma de gestão à vista, físico no mural da MTI e, nas salas de cada diretoria para visualização de todos os colaboradores. Também contém os gráficos dos monitoramentos e resultados dos indicadores estratégicos. (anexo 5) 

- Informes Mensais: Envio de e-mail mensal em formato de informes, para equipe gerencial da MTI, como forma de divulgação dos monitoramentos e resultados dos indicadores estratégicos. (anexo 6)

- Além da INTRANET contendo toda a documentação, o plano estratégico também é divulgado em eventos para todos os colaboradores, como ocorreu no ""café tech"" na data de 02 de fevereiro de 2022. (anexo 7)

- A divulgação do plano estratégico ocorre também, internamente para todos os colaboradores através da prática de gestão de disseminação de informações e resultados - instituída há mais de 2 anos - Em 2022 e 2023 ocorreu através do informativo Informes - UGGOV disseminado mensalmente  e por reuniões on-line nas datas de 02 jun. 2023 e 09 out. 2023. Foi avaliado o processo e aperfeiçoado para 2024 onde é feito evento semestral por Diretoria, em link aberto via google/meet para todos os colaboradores e, assim as informações do plano estratégico também são divulgadas. (anexo 8)
"
b) As necessidades dos cidadãos-usuários são consideradas na definição e revisão das prioridades estabelecidas ou das estratégias.,
01 - As necessidades dos cidadãos-usuários são consideradas na definição e revisão das prioridades estabelecidas ou das estratégias.,"A MTI elabora anualmente uma pesquisa de satisfação e imagem (pesquisa essa que inclusive é um dos indicadores estratégicos da MTI) na qual tem o objetivo de elevar o nível de satisfação do cliente e de imagem institucional da MTI.  
- Com relação as pesquisas elaboradas com clientes, usuários-cidadão, tem-se em anexo, os questionários, bem como uma amostra de relatório-resumo utilizado em momentos de revisão do plano estratégico anual. A pesquisa é realizada com públicos como:  líderes de governo, gestores de TI, parceiros, fornecedores e cidadãos. A pesquisa é utilizada como insumo no momento de revisão anual do PE (Plano Estratégico). A pesquisa é realizada anualmente, há mais de dois anos.

- Em 2022, com relação aos usuários-cidadão foi realizado uma pesquisa institucional, anual, com o objetivo de receber avaliação dos clientes e parceiros, através de um roteiro definido pela Comissão, e oportunizando ao participante avaliar sua satisfação e descrever suas necessidades e dificuldades com a MTI. (anexo 1)

- No ano de 2023, a  pesquisa foi realizada por meio do Google Forms e teve início em 29 de setembro de 2023, encerrando-se em 31 de janeiro de 2024, sendo o relatório tabulado e finalizado em 2024. O referido relatório serviu  de insumos para a revisão da estratégia e demais ações internas. No ano de 2022 a pesquisa foi realizada nos mesmos termos, no período compreendido entre 09/11/2022 a 07/12/2022, Os resultados das pesquisas estão disponíveis no site da MTI: https://www.mti.mt.gov.br/pesquisa-de-imagem  (anexo 2)

- No momento da revisão anual do PE, que é operacionalizado conforme o Regulamento de Planejamento Estratégico, publicado na intranet para todos os colaboradores, elaborado em 2016 e revisado em 2022, são avaliados os resultados dos anos anteriores bem como, é considerado as pesquisas de avaliação já descritas; desta forma, a Diretoria, ""ouve"" as demandas dos cidadãos-usuários e clientes diretamente atendidos O regulamento encontra-se no anexo 3."
"c) Os planos de ação para as prioridades ou estratégias estabelecidas são estruturados e divulgados, definindo prazos, custos e responsáveis.",
"01 - Os planos de ação para as prioridades ou estratégias estabelecidas são estruturados, definindo prazos, custos e responsáveis.","- Na elaboração do Plano de Trabalho anual - PTA  os planos de ação para as prioridades/estratégias estabelecidas são  priorizarizados, definindo prazos, custos e responsáveis pelas ações. Prática existente há mais de 2 anos na qual elabora o PTA em planilha do Google de forma compartilhada para trabalho em colaboração pelos gestores. Na mesma planilha é feita a priorização pela diretoria para atendimento do teto orçamentário recebido, e então é feito o lançamento no sistema do FIPLAN (sistema de planejamento orçamentário do Estado). É levado em consideração os programas, metas, indicadores dos instrumentos institucionais como: Plano Estratégico - PE e Plano Plurianual - PPA, dentre outros direcionadores. No PTA temos os seguintes indicadores (ação 1190 página 16 no PTA 2022 e página 20 no PTA 2023) (ação 1216 página 17 no PTA 2022 e página 21 no PTA 2023) (ação 1166 página 13 no PTA 2022 e página 17 no PTA 2023) (ação 1186 página 15 no PTA 2022 e página 18 no PTA 2023). No PE 2022-2026 página 24 e no PE 2023-2027 página 23. (anexo 1)

Indicador PE 2022 e 2023:Índice de satisfação e imagem
Alinhado/compatível com o indicador do PTA - Programa 515 - Ação 1190 (2022 e 2023): Pesquisa de satisfação realizada

Indicador PE 2022 e 2023:Grau de maturidade de governança e gestão
Alinhado/compatível com o indicador do PTA - Programa 515 - Ação 1216: Autoavaliação implantada

Indicador PE 2023: Valor do Faturamento (R$ em Milhões)
Alinhado/compatível com o indicador do PTA - Programa 515 - Ação 1166: Faturamento aumentado

Indicador PE 2022:Quantidade de pessoas capacitadas 
Alinhado/compatível com o indicador do PTA - Programa 515 - Ação 1186: Capacitação realizada"
02 - Os planos de ação para as prioridades ou estratégias estabelecidas são divulgados.,"A divulgação é realizada considerando os públicos externo e interno, a saber:

Para o público externo:
 - PTA: o PTA é publicado na sua íntegra no site da MTI desde 2022. (anexo 1)

Para o público interno - equipe gerencial
 - A MTI mantém Painel da Gestão desenvolvido utilizando ferramenta do Google no qual é publicada as informações de monitoramento das iniciativas em forma de tabelas e gráficos. É feito atualização mensal e disponibilizada em tempo real para toda equipe gerencial. Prática ocorre há mais de 2 anos. (anexo 2)
"
d) Os planos de ação e projetos são acompanhados sistematicamente e seus avanços e resultados divulgados ao público-alvo.,
01 - Os planos de ação e projetos são acompanhados sistematicamente.,"- Para o PTA o acompanhamento é feito através do sistema monitora - que é utilizado pelos órgãos do poder executivo estadual para monitoramento do PTA -  (anexo 1)

- Ainda, com relação ao PTA, ao final de cada ciclo anual é elaborado/acompanhado sistematicamente o Relatório de Ação Governamental - RAG contendo o resultado da implementação dos programas e ações. (anexo 2)

- A MTI possui uma Unidade de Gestão de Projetos - UGPRO, que é responsável por realizar o monitoramento dos projetos, as informações são divulgadas por meio de painel (anexo 3)

Indicador PE 2022 e 2023:Grau de maturidade de governança e gestão
Alinhado/compatível com o indicador do PTA - Programa 515 - Ação 1216: Autoavaliação implantada
"
