CÓDIGO DO RISCO,DESCRIÇÃO DO RISCO,CATEGORIA DO RISCO,NÍVEL DO RISCO,CLASSIFICAÇÃO DO RISCO,O QUE,QUEM,ONDE,POR QUE,COMO,INÍCIO,FIM,QUANTO,SITUAÇÃO,PERCETUAL DE EXECUÇÃO,OBSERVAÇÕES,UG,Situação Geral,Número de Ações,Quantidade de Eventos de Riscos
GADP,,,,,,,,,,,,,,,,,,,
R.OUVIDORIA.01,A -  Descumprimento das normas e prazos de Ouvidoria,Conformidade,ALTO,RESIDUAL,Cumprir normas e prazos de Ouvidoria,Mara,MTI,"Para cumprimento das normas,  fortalecimento da imagem institucional e satisfação dos usuários","1. Capacitação/atualização da equipe de Ouvidoria;
2. Monitormento dos resultados (relatório de gestão da Ouvidoria)
3. Compartilhamento de resultados com a Alta Gestão (Presidencia);
4. Promover campanhas internas para engajar os colaboradores no cumprimento das diretrizes.
",45717,46022,00,EM ANDAMENTO,"20,00%",,OUVIDORIA,"20,00%",3,3
R.OUVIDORIA.02,C - Não cumprir a meta na avaliação de satisfação com a Ouvidoria,Operacional,MODERADO,RESIDUAL,Cumprir Meta,Mara,MTI,Fortalecimento da imagem institucional e satisfação dos usuários,"1. Capacitação/atualização da equipe de Ouvidoria;
2. Monitormento dos resultados (relatório de gestão da Ouvidoria)
3. Compartilhamento de resultados com a Alta Gestão (Presidencia);
4. Promover campanhas internas para engajar os colaboradores no cumprimento das diretrizes.
",45717,46022,00,EM ANDAMENTO,"20,00%",,OUVIDORIA,,,
R.OUVIDORIA.03,D - Descumprimento das normas e prazos da LAI no que se refere as demandas de SIC; ,Conformidade,MODERADO,RESIDUAL,Cumprir normas e prazos do SIC,Mara,MTI,"Para cumprimento da LAI,  fortalecimento da imagem institucional e satisfação dos usuários","1. Capacitação/atualização da equipe de Ouvidoria;
2. Monitormento dos resultados (relatório de gestão da Ouvidoria)
3. Compartilhamento de resultados com a Alta Gestão (Presidencia);
4. Promover campanhas internas para engajar os colaboradores no cumprimento das diretrizes.
",45717,46022,00,EM ANDAMENTO,"20,00%",,OUVIDORIA,,,
R.UNICRS.01,Falhas em Infraestrutura com indisponibilidade dos serviços de TIC ,ESTRATÉGICO,,INERENTE,Elaborar PCN - Plano de Continuidade de Negócio da MTI,ANA BEATRIZ E CIRANO SOARES,MTI,"Propocionar a resolução dos incidentes em tempo hábil, a partir da definição das condutas a serem tomadas pelos responsáveis, evitando riscos à imagem da MTI.","- Reuniões semanais para elaboração do documento, em conjunto com a assessoria da presidência; 
- Apresentação e validação da minuta elaborada no Comitê de Segurança e Riscos;
- Apresentação e aprovação do documento em DIREX; 
- Publicação e disseminação ao corpo tático da empresa.",45708,45835,,EM ANDAMENTO,"70,00%",#REF!,,,,
R.UNICRS.02,Ataques cibernéticos,ESTRATÉGICO,,INERENTE,Aperfeiçoar os processos de segurança da informação e de riscos que afetam os processos finalísticos,UNICRS,MTI,"Aumentar a conscientização dos empregados da MTI, acerca de conceitos básicos em segurança da informação, dimuindo, dessa forma, a vulnerabilidade da empresa, pois sem treinamento adequado os empregados podem não reconhecer e-mails de phishing, links maliciosos ou outras táticas de engenharia social, tornando a empresa mais suscetível a invasões e ataques cibernéticos","- Atualização da metodologia da GIRC, com definições claras dos riscos de segurança da informação (40%); 
- Treinamentos realizados quadrimestralmente pela UNICRS - abril (20%) / agosto (20%) / novembro (20%), para todos os colaboradores da empresa; e por demanda, a pedido.",45777,45991,,EM ANDAMENTO,"60,00%",#REF!,,,,
R.UNICRS.03,Dificuldade na adesão ao Código de Conduta e Integridade,CONFORMIDADE - INTEGRIDADE,ALTO,INERENTE,Facilitar o entendimento das regras de conduta e integridade disseminadas na MTI e aplicar as consequências necessárias em caso de descumprimento,UNICRS  E COMISSÃO DE CONDUTA E INTEGRIDADE,MTI,Facilitar o entendimento das regras de conduta e integridade disseminadas na MTI e incentivar a realização de denúncias aos casos de descumprimento do código,"- Disseminar o código de conduta e integridade entre os colaboradores;
- Realizar treinamento anual para todos os colabodores da MTI;
- Analisar, através da comissão de conduta e integridade, as condutas que desrespeitarem o código de conduta e integridade, aplicando as sanções cabíveis.",45719,46011,,EM ANDAMENTO,"35,00%",Disseminações mensais realizadas,,,,
R.UNICRS.04,Falha na implementação de uma cultura ética e de integridade,CONFORMIDADE - INTEGRIDADE,ALTO,INERENTE,Fortalecer a cultura ética e de conformidade na MTI,UNICRS,MTI,"- Disseminar uma cultura ética e de conformidade na MTI, com incentivo a denúncias","Realizar reuniões com todos os gerentes de unidade para analisar documentos/prazos/cumprimentos necessários, por área, para criação de uma planilha de conformidades da MTI, objetivano um controle maior das conformidades a serem cumpridas;
- Fortalecer os canais de denúncias, incentivando a realização de denúncias;
- Incentivar e bonificar o comportamento ético 
",45726,46011,,EM ANDAMENTO,"20,00%",,,,,
R.UNICRS.05,Baixa adesão aos treinamentos realizados pela UNICRS,OPERACIONAL,MODERADO,INERENTE,Aumentar o engajamento/participação dos colaboradores nos treinamentos e melhorar a disseminação dos instrumentos instituídos,ANA BEATRIZ E LARISS,MTI,"- Fortalecer da cultura ética e de integridade;
- diminuir a ocorrência de falhas e incidentes.","- Realizar treinamento específico para estagiário e menor aprendiz - anual;
- Avaliar os treinamentos realizados a partir de um questionário, para verificar a retenção de conhecimento",45389,46011,,EM ANDAMENTO,"30,00%","Realizado o primeiro treinamento pela UNICRS, em 30/04: Café Tech - Construindo uma Cultura de Segurança da Informação no Setor Público (108 participantes)",,,,
R.UNIJUR.01,Defesa ineficiente,Operacional,MODERADO,INERENTE,Capacitação jurídica dos assessores,Assessores jurídicos,MTI,Qualificação dos advogados nas áreas de interesse da empresa,1 - Cursos presenciais e a distancia                                                            2 - Plataforma jurídica                                                                                                                                       3 - Banco de jurisprudência,45726,46022,,EM ANDAMENTO,"10,00%",Necessário autorização do Presidente,,,,
